hhid,round,comment,s7q1a,s7q1a2,s7q1b,s7q1b2,s7q1c,s7q1c2,s7q2,s7q4a,s7q4a2,s7q4b,s7q4b2,s7q5a,s7q5a2,s7q5b,s7q5b2,s7q5c,s7q5c2,s7q5d,s7q5d2,s7q5e,s7q5e2,s7q5f,s7q5f2,s7q6,s7q6a,s7q6b,s7q6c,s7q6d,s7q6e,s7q7,s7q8a,s7q8b,s7q8c,s7q8d,s7q8e,s7q8f,s7q8g,s7q8h,s7q8i,s7q8j,s7q8_other,s7q9_1,s7q9_2,s7q9_3
9040,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of household saving and status,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9040,2,,,,,,,,Above normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
9040,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,3,4,9,10,,,,,,,,,,,,,,,,
9040,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,
9040,5,0,,,,,,,Much below normal,Source of household saving and status,,Source of income from selling livestock,,Food aid,,Livestock keeping,,Casual labor,,Livestock keeping,,,,,,,5,9,9,10,,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,,Sell livestock,Rely more on food aid,Increase non-livestock activities
9041,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of household saving and status,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9041,2,,,,,,,,Above normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9041,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,10,13,11,14,,,,,,,,,,,,,,,,
9041,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,3,5,,,,,,,,,,,,,,,,
9041,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of household saving and status,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,3,2,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Reduce the number of meals eaten each day
9042,1,,Disease outbreak,,Lack of rain and forage availability,,Raiding,,Above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.30000001,,,,,,,,,,,,,,,,,,,,
9042,2,,,,,,,,Somewhat below normal,Source of income from livestock trading,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,1,3,4,,,,,,,,,,,,,,,,
9042,3,1,,,,,,,Above normal,Source of food from milk,,Source of food from meat and blood,,Food aid,,Cash transfers (CARE),,Food aid,,Cash transfers (CARE),,,,,,,4,5,5,5,,,,,,,,,,,,,,,,
9042,4,0,,,,,,,Much above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,1,2,1,,,,,,,,,,,,,,,,
9042,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,3,2,3,,Yes,No,No,Yes,No,No,Yes,No,No,No,No,,Rely on assistance from others,Increase non-livestock activities,
9042,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,No,Yes,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,Rely more on food aid,
9043,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock trading,,.2,,,,,,,,,,,,,,,,,,,,
9043,2,,,,,,,,Much below normal,Source of income from livestock trading,,Source of income from selling meat,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,4,0,6,5,,,,,,,,,,,,,,,,
9043,3,0,,,,,,,Above normal,Source of food from milk,,Source of income from selling meat,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,0,5,5,,,,,,,,,,,,,,,,
9043,4,0,,,,,,,Much above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,0,1,,,,,,,,,,,,,,,,
9043,5,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,2,3,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely on assistance from others,Rely more on food aid
9043,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,
9044,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Normal,Source of food from milk,,Source of food from meat and blood,,Business owner,,Livestock keeping,,Business owner,,Livestock keeping,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,.25,,,,,,,,,,,,,,,,,,,,
9044,2,,,,,,,,Above normal,Source of household saving and status,,Source of food from milk,,Business owner,,Business owner,,Business owner,,Livestock keeping,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9044,3,0,,,,,,,Somewhat below normal,Source of household saving and status,,Source of food from milk,,Food aid,,Livestock keeping,,Food aid,,Business owner,,,,,,,8,16,12,13,,,,,,,,,,,,,,,,
9044,4,0,,,,,,,Much below normal,Source of household saving and status,.,Source of food from milk,.,Other (specify),PENSION,Other (specify),PENSION,Other (specify),PENSION,Other (specify),PENSION,,,,,,5,15,10,13,,,,,,,,,,,,,,,,
9044,5,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Other (specify),pension,Livestock keeping,,Livestock keeping,,Other (specify),pension,,,,,,1,2,1,2,,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,
9044,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,
9045,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9045,2,,,,,,,,Above normal,Source of food from milk,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,2,1,,,,,,,,,,,,,,,,
9045,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,5,8,4,5,,,,,,,,,,,,,,,,
9045,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Casual labor,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9045,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,0,2,2,,Yes,No,Yes,No,No,Yes,No,No,No,No,No,,Rely more on food aid,Sell livestock,
9045,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,No,No,Yes,No,Yes,No,No,No,,Sell livestock,Send family members to look for work elsewhere,Rely more on food aid
9046,1,,Disease outbreak,,Lack of rain and forage availability,,Raiding,,Above normal,Source of income from selling meat,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
9046,2,,,,,,,,Normal,Source of income from livestock trading,,Source of income from selling meat,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
9046,3,0,,,,,,,Somewhat below normal,Source of household saving and status,,Other (specify),SOURCE OF FOOD FROM MEAT AND MILK,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,8,14,9,13,,,,,,,,,,,,,,,,
9046,4,0,,,,,,,Above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
9046,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,1,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Rely more on food aid,Sell livestock,Reduce the number of meals eaten each day
9046,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Rely on assistance from others
9047,1,,Disease outbreak,,Lack of rain and forage availability,,Conflict,,Somewhat below normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock trading,,.40000001,,,,,,,,,,,,,,,,,,,,
9047,2,,,,,,,,Normal,Source of income from livestock trading,,Source of income from selling meat,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,1,3,3,,,,,,,,,,,,,,,,
9047,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,4,8,6,7,,,,,,,,,,,,,,,,
9047,4,0,,,,,,,Above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9047,5,0,,,,,,,Above normal,Source of income from selling livestock,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,3,3,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Reduce the number of meals eaten each day
9047,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,Rely more on food aid
9048,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Much above normal,Source of income from selling milk,,Source of food from meat and blood,,Livestock keeping,,Livestock trading,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.34999999,,,,,,,,,,,,,,,,,,,,
9048,2,,,,,,,,Above normal,Source of income from livestock trading,,Source of income from selling meat,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
9048,3,1,,,,,,,Above normal,Source of income from selling milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,10,10,,,,,,,,,,,,,,,,
9048,4,0,,,,,,,Much above normal,Source of household saving and status,.,Source of food from milk,.,Casual labor,,Livestock keeping,,Casual labor,,Livestock keeping,,,,,,,0,0,2,1,,,,,,,,,,,,,,,,
9048,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of household saving and status,,Year-round wage/salaried employment,,Cash transfers (CARE),,Livestock keeping,,Livestock keeping,,,,,,,1,2,2,2,,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Rely on assistance from others
9048,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,Rely more on food aid
9049,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
9049,2,,,,,,,,Above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,2,0,3,4,,,,,,,,,,,,,,,,
9049,3,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
9049,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,3,3,4,,,,,,,,,,,,,,,,
9050,1,,Disease outbreak,,Lack of rain and forage availability,,Raiding,,Above normal,Source of income from livestock trading,,Source of income from selling meat,,Livestock keeping,,Casual labor,,Livestock keeping,,Livestock keeping,,Casual labor,,Livestock keeping,,.25,,,,,,,,,,,,,,,,,,,,
9050,2,,,,,,,,Normal,Source of income from livestock trading,,Source of income from selling meat,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Livestock keeping,,Livestock keeping,,,,,,,2,0,5,6,,,,,,,,,,,,,,,,
9050,3,0,,,,,,,Much below normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,13,15,14,17,,,,,,,,,,,,,,,,
9050,4,0,,,,,,,Normal,Source of household saving and status,.,Source of income from selling milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,
9050,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of household saving and status,,Livestock keeping,,Food aid,,Livestock keeping,,Livestock keeping,,,,,,,0,2,2,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Reduce the number of meals eaten each day
9050,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely on assistance from others,Rely more on food aid
9051,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of income from selling meat,,Livestock keeping,,Livestock trading,,Livestock keeping,,Livestock trading,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9051,2,,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,0,3,4,,,,,,,,,,,,,,,,
9051,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,2,4,9,10,,,,,,,,,,,,,,,,
9051,4,0,,,,,,,Much above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,1,0,,,,,,,,,,,,,,,,
9051,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,2,2,,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Rely on assistance from others
9052,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.30000001,,,,,,,,,,,,,,,,,,,,
9052,2,,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,3,3,,,,,,,,,,,,,,,,
9052,3,0,,,,,,,Somewhat below normal,Source of household saving and status,,Source of food from meat and blood,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,10,12,10,13,,,,,,,,,,,,,,,,
9052,4,0,,,,,,,Above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
9052,5,0,,,,,,,Much below normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,3,2,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,Rely more on food aid
9053,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of household saving and status,,Livestock keeping,,Petty trading,,Livestock keeping,,Petty trading,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9053,2,,,,,,,,Normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,
9053,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of food from meat and blood,,Livestock keeping,,Food aid,,Livestock keeping,,Food aid,,,,,,,9,12,10,13,,,,,,,,,,,,,,,,
9053,4,0,,,,,,,Much above normal,Source of household saving and status,.,Source of food from milk,.,Food aid,,Transfer from family (outside of hh),,Food aid,,Transfer from family (outside of hh),,,,,,,0,2,0,1,,,,,,,,,,,,,,,,
9053,5,0,,,,,,,Much below normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,10,5,10,10,,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,Rely more on food aid,Sell livestock,Rely on assistance from others
9053,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,No,No,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely on assistance from others,
9054,1,,Disease outbreak,,Lack of rain and forage availability,,Raiding,,Above normal,Source of income from livestock trading,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Year-round wage/salaried employment,,Business owner,,.40000001,,,,,,,,,,,,,,,,,,,,
9054,2,,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,2,2,,,,,,,,,,,,,,,,
9054,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Petty trading,,Food aid,,,,,,,1,1,2,3,,,,,,,,,,,,,,,,
9054,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,2,3,,,,,,,,,,,,,,,,
9054,5,0,,,,,,,Much above normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,3,2,3,3,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,Rely on assistance from others,Sell livestock,Rely more on food aid
9055,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from livestock trading,,Source of food from milk,,Business owner,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock trading,,Business owner,,.15000001,,,,,,,,,,,,,,,,,,,,
9055,2,,,,,,,,Above normal,Source of income from livestock trading,,Source of household saving and status,,Business owner,,Business owner,,Livestock keeping,,Business owner,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9055,3,0,,,,,,,Above normal,Source of income from selling milk,,Source of food from meat and blood,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,2,2,,,,,,,,,,,,,,,,
9055,4,0,,,,,,,Above normal,Do not own livestock,.,,.,Business owner,,Business owner,,Business owner,,Business owner,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,
9055,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from milk,,Business owner,,Business owner,,Business owner,,Business owner,,,,,,,0,0,1,1,,Yes,No,No,No,No,No,No,No,No,No,No,,,,
9055,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,No,Yes,No,No,No,No,,Increase non-livestock activities,Reduce the number of meals eaten each day,Rely more on food aid
9056,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from livestock trading,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9056,2,,,,,,,,Above normal,Source of food from milk,,Source of income from livestock trading,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,2,1,,,,,,,,,,,,,,,,
9056,3,0,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,4,4,,,,,,,,,,,,,,,,
9056,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
9056,5,0,,,,,,,Much below normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Transfer from family (outside of hh),,Livestock keeping,,,,,,,2,2,3,4,,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Rely on assistance from others
9057,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Somewhat below normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.40000001,,,,,,,,,,,,,,,,,,,,
9057,2,,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,2,2,,,,,,,,,,,,,,,,
9057,3,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Food aid,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,10,13,10,14,,,,,,,,,,,,,,,,
9057,4,0,,,,,,,Above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,
9057,5,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,1,2,2,,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely on assistance from others,Rely more on food aid
9057,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Rely more on food aid,Reduce the number of meals eaten each day
9058,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.34999999,,,,,,,,,,,,,,,,,,,,
9058,2,,,,,,,,Above normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
9058,3,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,
9058,4,0,,,,,,,Normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,
9058,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,1,1,1,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Reduce the number of meals eaten each day,Rely more on food aid,Sell livestock
9058,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,Yes,Yes,No,No,Yes,No,No,No,No,No,,Sell livestock,Reduce the number of meals eaten each day,Rely more on food aid
9059,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of income from livestock trading,,Source of food from milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.2,,,,,,,,,,,,,,,,,,,,
9059,2,,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9059,3,0,,,,,,,Much above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Livestock trading,,Food aid,,Livestock trading,,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
9059,4,0,,,,,,,Much above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,2,1,1,,,,,,,,,,,,,,,,
9059,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of household saving and status,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,0,0,3,3,,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,,Rely more on food aid,Sell livestock,Reduce the number of meals eaten each day
9060,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of household saving and status,,Source of income from selling milk,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.15000001,,,,,,,,,,,,,,,,,,,,
9060,2,,,,,,,,Normal,Source of income from livestock trading,,Source of income from selling meat,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,1,2,3,3,,,,,,,,,,,,,,,,
9060,3,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Food aid,,Food aid,,Livestock keeping,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,
9060,4,0,,,,,,,Above normal,Source of household saving and status,.,Source of food from milk,.,Livestock keeping,,Livestock keeping,,Food aid,,Livestock keeping,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
9060,5,0,,,,,,,Much below normal,Source of income from selling livestock,,Source of household saving and status,,Livestock keeping,,Cash transfers (CARE),,Food aid,,Transfer from family (outside of hh),,,,,,,2,5,4,5,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,Rely more on food aid,Reduce the number of meals eaten each day
9060,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,Yes,Yes,No,Yes,No,No,No,No,No,,Sell livestock,Rely on assistance from others,Rely more on food aid
9061,1,,Disease outbreak,,Conflict,,Raiding,,Above normal,Source of food from meat and blood,,Source of income from livestock trading,,Livestock keeping,,Livestock keeping,,Livestock trading,,Livestock keeping,,Livestock keeping,,Livestock trading,,.30000001,,,,,,,,,,,,,,,,,,,,
